Episode Number,Pitch Number,Investment Amount (In Lakhs INR) ,Debt (In lakhs INR),Equity,Anupam,Ashneer,Namita,Aman,Peyush,Vineeta,Ghazal,Season
29,93,0,0,0,N,N,N,N,N,N,N,1
29,94,0,0,0,N,N,N,N,N,N,N,1
30,95,0,0,0,N,N,N,N,N,N,N,1
30,96,80,0,6.00%,N,N,Y,N,N,Y,N,1
30,97,0,0,0,N,N,N,N,N,N,N,1
30,98,0,0,0,N,N,N,N,N,N,N,1
31,99,0,0,0,N,N,N,N,N,N,N,1
31,100,0,0,0,N,N,N,N,N,N,N,1
31,101,75,0,2.68%,N,N,N,Y,N,N,N,1
31,102,0,0,0,N,N,N,N,N,N,N,1
32,103,0,0,0,N,N,N,N,N,N,N,1
32,104,0,0,0,N,N,N,N,N,N,N,1
32,105,50,0,2.00%,N,N,N,Y,N,N,N,1
32,106,0,0,0,N,N,N,N,N,N,N,1
33,107,40,0,25.00%,N,N,Y,N,N,N,N,1
33,108,0,0,0,N,N,N,N,N,N,N,1
33,109,60,0,10.00%,Y,Y,N,N,Y,N,N,1
33,110,10,0,10.00%,N,Y,N,N,Y,N,N,1
34,111,40,0,20.00%,N,Y,Y,N,N,Y,Y,1
34,112,0,0,0,N,N,N,N,N,N,N,1
34,113,0,0,0,N,N,N,N,N,N,N,1
34,114,0,0,0,N,N,N,N,N,N,N,1
35,115,40,0,30.00%,Y,Y,N,Y,N,Y,N,1
35,116,0,0,0,N,N,N,N,N,N,N,1
35,117,0,0,0,N,N,N,N,N,N,N,1
